Año,Trimestre,Provincia,Accesos por cada 100 hogares
2021,3,Tierra Del Fuego,94.95386825985027
2021,3,Tucumán,54.63604486100796
2021,2,Buenos Aires,70.00330336027972
2021,2,Capital Federal,110.144402032121
2021,2,Catamarca,52.34030966263861
2021,2,Chaco,43.32762729293539
2021,2,Chubut,72.29410481936469
2021,2,Córdoba,80.11518795931242
2021,2,Corrientes,43.5411637336848
2021,2,Entre Ríos,61.66026446478789
2021,2,Formosa,33.22548419322613
2021,2,Jujuy,56.18215701146769
2021,2,La Pampa,82.08000672325404
2021,2,La Rioja,76.9786615851933
2021,2,Mendoza,40.97324182617088
2021,2,Misiones,45.0128113119994
2021,2,Neuquén,69.14021084638621
2021,2,Río Negro,61.94204057417748
2021,2,Salta,54.93009017478889
2021,2,San Juan,39.28402570062062
2021,2,San Luis,83.47810720063075
2021,2,Santa Cruz,44.01491665543425
2021,2,Santa Fe,75.06878626293008
2021,2,Santiago Del Estero,46.55727536492105
2021,2,Tierra Del Fuego,67.88580775229184
2021,2,Tucumán,54.92819651034804
2021,1,Buenos Aires,69.10524076185938
2021,1,Capital Federal,108.4199392232935
2021,1,Catamarca,48.89909292784824
2021,1,Chaco,43.13649241708794
2021,1,Chubut,68.9942808881567
2021,1,Córdoba,78.59028062380018
2021,1,Corrientes,42.66412843882141
2021,1,Entre Ríos,60.43944972834235
2021,1,Formosa,32.73295575632721
2021,1,Jujuy,55.63244789620541
2021,1,La Pampa,81.77676345752207
2021,1,La Rioja,49.80693519079345
2021,1,Mendoza,39.15366152899642
2021,1,Misiones,43.17243890597184
2021,1,Neuquén,66.84208942045272
2021,1,Río Negro,60.87924030325769
2021,1,Salta,53.93001926339093
2021,1,San Juan,39.0551943353576
2021,1,San Luis,81.23730177127507
2021,1,Santa Cruz,41.64783103990742
2021,1,Santa Fe,73.91656407026184
2021,1,Santiago Del Estero,45.67308282365455
2021,1,Tierra Del Fuego,77.34935609177366
2021,1,Tucumán,54.81892254125389
2020,4,Buenos Aires,68.97702220170737
2020,4,Capital Federal,108.3110748904351
2020,4,Catamarca,49.40688354549741
2020,4,Chaco,43.0307886497791
2020,4,Chubut,68.35189915825622
2020,4,Córdoba,78.07960876338194
2020,4,Corrientes,42.42828394694903
2020,4,Entre Ríos,59.47430676097378
2020,4,Formosa,32.48738190759673
2020,4,Jujuy,53.45659123390888
2020,4,La Pampa,81.76793248945148
2020,4,La Rioja,50.11061211701148
2020,4,Mendoza,38.62957896227819
2020,4,Misiones,42.64411416119227
2020,4,Neuquén,67.00234522048092
2020,4,Río Negro,61.08861548045476
2020,4,Salta,54.04275200147659
2020,4,San Juan,36.32088215575813
2020,4,San Luis,81.67947806105701
2020,4,Santa Cruz,36.99957245908797
2020,4,Santa Fe,73.58073807267776
2020,4,Santiago Del Estero,43.74925662068993
2020,4,Tierra Del Fuego,76.26583496977399
2020,4,Tucumán,54.78340441369959
2020,3,Buenos Aires,67.65618983090923
2020,3,Capital Federal,107.6759011657323
2020,3,Catamarca,47.15709898417198
2020,3,Chaco,41.54192057806515
2020,3,Chubut,68.34389815720037
2020,3,Córdoba,75.22035723669207
2020,3,Corrientes,41.75074947046443
2020,3,Entre Ríos,58.1901640924315
2020,3,Formosa,31.90562331018654
2020,3,Jujuy,54.04441923820905
2020,3,La Pampa,79.26447706670275
2020,3,La Rioja,50.11811323630268
2020,3,Mendoza,37.3486331372327
2020,3,Misiones,41.60448628544863
2020,3,Neuquén,65.24417025530218
2020,3,Río Negro,57.05240591584501
2020,3,Salta,52.31571212848803
2020,3,San Juan,38.78995525412846
2020,3,San Luis,79.96172209417188
2020,3,Santa Cruz,35.95152890784452
2020,3,Santa Fe,72.12060247348236
2020,3,Santiago Del Estero,43.37593131691913
2020,3,Tierra Del Fuego,76.80909583946696
2020,3,Tucumán,53.2281495112899
2020,2,Buenos Aires,65.2205801358229
