Año,Trimestre,Provincia,Mbps (Media de bajada),Rango Velocidad
2021,1,Corrientes,25.98517135972007,10-50 Mbps
2021,1,Entre Ríos,23.87133437318357,10-50 Mbps
2021,1,Formosa,20.98032750697522,10-50 Mbps
2021,1,Jujuy,26.777362312404,10-50 Mbps
2021,1,La Pampa,10.7285119295318,10-50 Mbps
2021,1,La Rioja,12.69755473218188,10-50 Mbps
2021,1,Mendoza,12.59936124525423,10-50 Mbps
2021,1,Misiones,25.07682612608144,10-50 Mbps
2021,1,Neuquén,34.23850264753642,10-50 Mbps
2021,1,Río Negro,21.92390676083096,10-50 Mbps
2021,1,Salta,27.31884069404982,10-50 Mbps
2021,1,San Juan,6.910089995382067,0-10 Mbps
2021,1,San Luis,21.59437980471078,10-50 Mbps
2021,1,Santa Cruz,7.501531847531764,0-10 Mbps
2021,1,Santa Fe,28.13063007315294,10-50 Mbps
2021,1,Santiago Del Estero,11.58417451649813,10-50 Mbps
2021,1,Tierra Del Fuego,8.734752396277898,0-10 Mbps
2021,1,Tucumán,37.97961958190828,10-50 Mbps
2020,4,Buenos Aires,50.00838083963576,50-100 Mbps
2020,4,Capital Federal,67.32513676879374,50-100 Mbps
2020,4,Catamarca,37.6500877273544,10-50 Mbps
2020,4,Chaco,32.45204676418101,10-50 Mbps
2020,4,Chubut,7.383087626414736,0-10 Mbps
2020,4,Córdoba,35.12060124188395,10-50 Mbps
2020,4,Corrientes,25.44670089663059,10-50 Mbps
2020,4,Entre Ríos,24.05327825306045,10-50 Mbps
2020,4,Formosa,19.6983490087788,10-50 Mbps
2020,4,Jujuy,25.20639328416149,10-50 Mbps
2020,4,La Pampa,9.875605170860927,0-10 Mbps
2020,4,La Rioja,12.53465598059834,10-50 Mbps
2020,4,Mendoza,11.09317131945717,10-50 Mbps
2020,4,Misiones,24.95661777968036,10-50 Mbps
2020,4,Neuquén,33.90786486677393,10-50 Mbps
2020,4,Río Negro,21.63671918984999,10-50 Mbps
2020,4,Salta,25.32243965074473,10-50 Mbps
2020,4,San Juan,6.412867397953183,0-10 Mbps
2020,4,San Luis,21.25295408218913,10-50 Mbps
2020,4,Santa Cruz,7.492108628119051,0-10 Mbps
2020,4,Santa Fe,27.29435244621562,10-50 Mbps
2020,4,Santiago Del Estero,11.280765527512,10-50 Mbps
2020,4,Tierra Del Fuego,8.486806949337868,0-10 Mbps
2020,4,Tucumán,36.44224682915296,10-50 Mbps
2020,3,Buenos Aires,48.37662390811511,10-50 Mbps
2020,3,Capital Federal,63.80852025607172,50-100 Mbps
2020,3,Catamarca,36.54043660732984,10-50 Mbps
2020,3,Chaco,30.80272694856422,10-50 Mbps
2020,3,Chubut,7.402074441844787,0-10 Mbps
2020,3,Córdoba,33.51119497419789,10-50 Mbps
2020,3,Corrientes,23.85152397124295,10-50 Mbps
2020,3,Entre Ríos,22.43259864620618,10-50 Mbps
2020,3,Formosa,18.2828320694304,10-50 Mbps
2020,3,Jujuy,21.91041968686995,10-50 Mbps
2020,3,La Pampa,10.69763090540209,10-50 Mbps
2020,3,La Rioja,12.1947037670582,10-50 Mbps
2020,3,Mendoza,10.18749103459563,10-50 Mbps
2020,3,Misiones,24.14176187252152,10-50 Mbps
2020,3,Neuquén,31.46090402703376,10-50 Mbps
2020,3,Río Negro,21.07777870325876,10-50 Mbps
2020,3,Salta,25.26115592402774,10-50 Mbps
2020,3,San Juan,6.027864793582682,0-10 Mbps
2020,3,San Luis,20.84992813378867,10-50 Mbps
2020,3,Santa Cruz,6.649363712026633,0-10 Mbps
2020,3,Santa Fe,25.69094134126807,10-50 Mbps
2020,3,Santiago Del Estero,10.87901727065974,10-50 Mbps
2020,3,Tierra Del Fuego,8.506676055475614,0-10 Mbps
2020,3,Tucumán,34.83580169861553,10-50 Mbps
2020,2,Buenos Aires,45.66197363212277,10-50 Mbps
2020,2,Capital Federal,60.4844973584038,50-100 Mbps
2020,2,Catamarca,34.92595642857143,10-50 Mbps
2020,2,Chaco,27.95228467436429,10-50 Mbps
2020,2,Chubut,7.605487984559083,0-10 Mbps
2020,2,Córdoba,30.98757763713947,10-50 Mbps
2020,2,Corrientes,22.15030606257576,10-50 Mbps
2020,2,Entre Ríos,20.44862117844259,10-50 Mbps
2020,2,Formosa,16.8702589931144,10-50 Mbps
2020,2,Jujuy,15.86401363186255,10-50 Mbps
2020,2,La Pampa,8.028862255598405,0-10 Mbps
2020,2,La Rioja,11.66911096197726,10-50 Mbps
2020,2,Mendoza,9.274562732094155,0-10 Mbps
2020,2,Misiones,22.56012261758318,10-50 Mbps
2020,2,Neuquén,29.10014762387851,10-50 Mbps
2020,2,Río Negro,19.67959604728317,10-50 Mbps
2020,2,Salta,22.55853618795662,10-50 Mbps
2020,2,San Juan,6.308614963196474,0-10 Mbps
2020,2,San Luis,21.02062693689071,10-50 Mbps
2020,2,Santa Cruz,6.593202418178028,0-10 Mbps
2020,2,Santa Fe,23.9257916089841,10-50 Mbps
2020,2,Santiago Del Estero,10.411619106122,10-50 Mbps
2020,2,Tierra Del Fuego,8.128329395457266,0-10 Mbps
2020,2,Tucumán,32.70453443718797,10-50 Mbps
2020,1,Buenos Aires,45.18128807375552,10-50 Mbps
2020,1,Capital Federal,58.70568296242247,50-100 Mbps
2020,1,Catamarca,29.13222501293961,10-50 Mbps
2020,1,Chaco,25.94204933412174,10-50 Mbps
2020,1,Chubut,7.117047781865397,0-10 Mbps
2020,1,Córdoba,29.39478783506133,10-50 Mbps
2020,1,Corrientes,20.53899927494333,10-50 Mbps
2020,1,Entre Ríos,19.0297653350575,10-50 Mbps
2020,1,Formosa,15.69735260741511,10-50 Mbps
2020,1,Jujuy,14.14492205715465,10-50 Mbps
2020,1,La Pampa,7.291757720474826,0-10 Mbps
